Date,Message
2026-06-01T05:30:00.000+05:30,"OPSHEAD|time,open,high,low,close,volume,macd_line,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower,tsi_25_13,triple_ema_9,sma_of_ema_10,ema_of_sma_10,rsi_of_ema_10"
2026-06-01T05:30:00.000+05:30,"OPS|1780272000000,73568,73767.98,73553.15,73689,15.81097266,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN"
2026-06-01T05:45:00.000+05:30,"OPS|1780272900000,73698,73849.23,73618,73846.64,6.63573813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN"
2026-06-01T06:00:00.000+05:30,"OPS|1780273800000,73854.68,73984.48,73720.64,73847.01,60.90827974,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN"
2026-06-01T06:15:00.000+05:30,"OPS|1780274700000,73842.01,73916.36,73767.47,73780.64,7.92804653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN"
2026-06-01T06:30:00.000+05:30,"OPS|1780275600000,73783,73807.4,73470.49,73474.01,13.58137937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN"
2026-06-01T06:45:00.000+05:30,"OPS|1780276500000,73473,73544.41,73473,73500.5,4.34560701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN"
2026-06-01T07:00:00.000+05:30,"OPS|1780277400000,73504.32,73550.39,73356.3,73390.04,8.19424636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN"
2026-06-01T07:15:00.000+05:30,"OPS|1780278300000,73386.07,73473.02,73181.99,73189.99,6.99324627,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN"
2026-06-01T07:30:00.000+05:30,"OPS|1780279200000,73182.82,73459.95,73119.67,73448.33,10.15008432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN"
2026-06-01T07:45:00.000+05:30,"OPS|1780280100000,73446.03,73446.66,73350.96,73421.51,3.89751165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN"
2026-06-01T08:00:00.000+05:30,"OPS|1780281000000,73421.51,73778,73360.99,73682.78,7.89720456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN"
2026-06-01T08:15:00.000+05:30,"OPS|1780281900000,73682.78,73753.9,73641.56,73689.01,6.74186644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN"
2026-06-01T08:30:00.000+05:30,"OPS|1780282800000,73695,73919.01,73695,73783.54,11.61803137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN"
2026-06-01T08:45:00.000+05:30,"OPS|1780283700000,73783.55,73876.95,73704.02,73813.98,5.91594173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN"
