Trade #,Type,Signal,Date/Time,Price,Contracts,Profit,Profit %,Cum. Profit
1,Entry Long,Long,N/A,127.8300,100,0.00,0.00,0.00
1,Exit Long,Close Long,2015-02-17T00:00:00.000Z,127.8300,100,0.00,0.00,0.00
2,Entry Long,Long,N/A,128.7200,100,0.00,0.00,0.00
2,Exit Long,Close Long,2015-02-18T00:00:00.000Z,128.7200,100,0.00,0.00,0.00
3,Entry Long,Long,N/A,128.4500,100,0.00,0.00,0.00
3,Exit Long,Close Long,2015-02-19T00:00:00.000Z,128.4500,100,0.00,0.00,0.00
4,Entry Long,Long,N/A,129.5000,100,0.00,0.00,0.00
4,Exit Long,Close Long,2015-02-20T00:00:00.000Z,129.5000,100,0.00,0.00,0.00
5,Entry Long,Long,N/A,133.0000,100,0.00,0.00,0.00
5,Exit Long,Close Long,2015-02-23T00:00:00.000Z,133.0000,100,0.00,0.00,0.00
6,Entry Long,Long,N/A,132.1700,100,0.00,0.00,0.00
6,Exit Long,Close Long,2015-02-24T00:00:00.000Z,132.1700,100,0.00,0.00,0.00
7,Entry Long,Long,N/A,128.7900,100,0.00,0.00,0.00
7,Exit Long,Close Long,2015-02-25T00:00:00.000Z,128.7900,100,0.00,0.00,0.00
8,Entry Long,Long,N/A,130.4200,100,0.00,0.00,0.00
8,Exit Long,Close Long,2015-02-26T00:00:00.000Z,130.4200,100,0.00,0.00,0.00
9,Entry Long,Long,N/A,128.4600,100,0.00,0.00,0.00
9,Exit Long,Close Long,2015-02-27T00:00:00.000Z,128.4600,100,0.00,0.00,0.00
10,Entry Long,Long,N/A,129.0900,100,0.00,0.00,0.00
10,Exit Long,Close Long,2015-03-02T00:00:00.000Z,129.0900,100,0.00,0.00,0.00
11,Entry Long,Long,N/A,129.3600,100,0.00,0.00,0.00
11,Exit Long,Close Long,2015-03-03T00:00:00.000Z,129.3600,100,0.00,0.00,0.00
12,Entry Long,Long,N/A,128.5400,100,0.00,0.00,0.00
12,Exit Long,Close Long,2015-03-04T00:00:00.000Z,128.5400,100,0.00,0.00,0.00
13,Entry Long,Long,N/A,126.4100,100,0.00,0.00,0.00
13,Exit Long,Close Long,2015-03-05T00:00:00.000Z,126.4100,100,-0.00,-0.00,0.00
14,Entry Long,Long,N/A,126.6000,100,0.00,0.00,0.00
14,Exit Long,Close Long,2015-03-06T00:00:00.000Z,126.6000,100,0.00,0.00,0.00
15,Entry Long,Long,N/A,127.1400,100,0.00,0.00,0.00
15,Exit Long,Close Long,2015-03-09T00:00:00.000Z,127.1400,100,0.00,0.00,0.00
16,Entry Long,Long,N/A,124.5100,100,0.00,0.00,0.00
16,Exit Long,Close Long,2015-03-10T00:00:00.000Z,124.5100,100,0.00,0.00,0.00
17,Entry Long,Long,N/A,122.2400,100,0.00,0.00,0.00
17,Exit Long,Close Long,2015-03-11T00:00:00.000Z,122.2400,100,0.00,0.00,0.00
18,Entry Long,Long,N/A,124.4500,100,0.00,0.00,0.00
18,Exit Long,Close Long,2015-03-12T00:00:00.000Z,124.4500,100,0.00,0.00,0.00
19,Entry Long,Long,N/A,123.5900,100,0.00,0.00,0.00
19,Exit Long,Close Long,2015-03-13T00:00:00.000Z,123.5900,100,0.00,0.00,0.00
20,Entry Long,Long,N/A,124.9500,100,0.00,0.00,0.00
20,Exit Long,Close Long,2015-03-16T00:00:00.000Z,124.9500,100,0.00,0.00,0.00
21,Entry Long,Long,N/A,127.0400,100,0.00,0.00,0.00
